input,label
Software (Clinical Tracking and Tools) Security Assets (Password Protection) Servers (Drug Data Processes (Drug Testing) Models (Basic Drug Interaction non technical Models) Data their technical (Drug Efficacy) 1 Assets need to find Servers) People (Researchers) Databases (Clinical Trials) Disaster Recovery (Backup Trials Data) 2. Non Communication Systems (Lab Communications) Services (Online Prescription assets. Services) Networking (Internal Laboratory Network) Compliance Systems (Drug Approval) Development Tools (Basic Research Software),bad
"People: Key personnel and staff. Quality Function Function Function Description Function Outcome ID Name Data: Customer data, financial data, transaction data, and analytics data. technology. For example, identify critical business processes Security Assets: Firewalls, intrusion detection systems, encryption tools. Business Processes: Financial transaction workflows, risk management processes, financial reporting procedures. Compliance and Regulatory Reporting Systems: Financial regulations compliance monitoring. Intellectual Property (IP): Proprietary financial software, risk assessment methodologies. Models: Risk assessment models, financial forecasting models. Development Tools: Financial software development kits (SDKs), version control systems, CI/CD pipelines. Services: IT support services, financial data analysis services, cybersecurity services. Databases: Customer, financial, and transaction databases. Non Software: Financial management software, trading platform software, and understand how IP is safeguarded. custom Technology: Network infrastructure, office hardware (e.g., computers, trading terminals), communication systems. Data Centres: Primary data centre. Technical and Networking and Infrastructure: Secure network infrastructure, VPN services for remote access. Business Continuity and Disaster Recovery Systems: Data backup solutions, disaster recovery plans. 2. Non Communication Systems: Secure email servers, collaboration tools, VoIP phone systems. Servers: Physical and virtual servers. databases, data, software, models, and services. Assets Technical built financial applications.",good
"Intellectual Property (IP): Proprietary logistics algorithms, supply chain process optimizations. Software: Inventory management systems, route optimization software. Security Assets: Encryption tools, access control systems. Disaster Recovery Systems: Data backups, emergency logistics plans. Non Technology: IoT devices for tracking, transportation hardware. Technical should Hosting Services: Cloud platforms for tracking and identify their systems. enabled supply chain devices, secure communication networks. Servers: High Tech critical servers. Data: Assets non technica Supply chain metrics, customer feedback data. l assets. Data Centres: Supply chain data centres. 1 Critical Systems Compliance Systems: Food safety regulation monitoring. Databases: Supplier data, inventory nical technical and management, distribution databases. Services: Logistics tracking, supplier management systems. Networking and Infrastructure: IoT Communication Systems: Secure supply chain communication tools. Development Tools: Supply chain simulation tools, CI/CD platforms. Business Processes: Supplier relationship management, quality assurance. performance logistics Non Models: Predictive models for food demand, waste reduction. People: Supply chain managers, IT support teams.",good
"Technical components, as some protocols. Communication cal Assets others. Systems: Secure channels for collaboration with research Non Technology: Lab equipment, DNA sequencers, microscopes. Business For example, safeguarding Continuity and Disaster intellectual property and Recovery Systems: Research understanding how business data backup and disaster processes can be restored in recovery systems. case of a cyber incident is critical to the business continuity of BioMedics Inc. Function Quality ID Function Description Function Outcome Name List of Non technical and non Services: Genetic centres, hosting services, testing, biotechnology R&D. Security Assets: Data Critical identify critical service encryption, research protection RC.IP Servers: 20 physical servers, 50 BioMedics Inc. must virtual servers. technical Software: Bioinformatics assets. software, lab management systems. Data Centres: Biotech research data storage. servers, databases, data, Networking and Infrastructure: software, models, and Private networks for research Identify services. It is important to sharing. Business Processes: Drug development workflows, patient testing procedures. Techni priority or sensitivity than analysis tools. Databases: conduct a comprehensive Genomic data, clinical trials discovery exercise to data. Development Tools: Excellent 1 and services may have higher Biotech research platforms, Non Hosting Services: Cloud storage for research data and analysis. People: Biotechnologists, clinical researchers, lab technicians. Intellectual Property (IP): Gene sequencing techniques, proprietary biotech products. Data: Patient data, clinical identify their critical trial results, lab research data. Compliance and include but are not limited to Regulatory Reporting Systems: people, processes, and Systems for FDA and other intellectual property (IP). regulatory compliance.",excellent
Disaster Recovery (Device Data Backup) 2. Non assets. Security Assets (Basic Firewalls) Communication Systems (Home Communication Systems) Processes (Installation and Support) their technical Software (Automation Tools) Models (Basic and Home Efficiency Models) technical Integration) Databases (Device needs to find Data) 1 Assets Innovations Automation Servers) Development Tools (IoT Software Development Kits) Servers (Home People (Technicians) Compliance Systems (Basic Device Standards) Data (Smart Device Usage Data) Networking (Home Network) Services (Device non,bad
"People: Key personnel and staff. Software: E of Development Tools: IDEs, version control systems, CI/CD pipelines. sale systems), communication systems. Technology: Network infrastructure, office hardware (e.g., computers, point Compliance and Regulatory Reporting Systems: PCI DSS compliance monitoring. Data: Customer data, transaction data, product data, and analytics data. technology. For example, identify critical business processes Databases: Customer, product, and sales databases. Non Services: IT support services, cloud services, customer support services. Communication Systems: Email servers, collaboration tools, VoIP phone systems. built retail applications. Networking and Infrastructure: Retail store network infrastructure, Wi commerce platform. Technical and commerce platform software, inventory management and understand how IP is safeguarded. software, custom Intellectual Property (IP): Proprietary retail software code, business methodologies. Quality Function Function Function Description Function Outcome ID Name Business Processes: Inventory management processes, customer support workflows, financial reporting procedures. Business Continuity and Disaster Recovery Systems: Data backup solutions, disaster recovery plans. 2. Non Servers: Physical and virtual servers. databases, data, software, models, and services. Assets Technical Data Centres: Data centres for e Fi routers, VPN services. Security Assets: Firewalls, antivirus software, encryption tools. Models: Sales prediction models, customer behavior models.",good
"built inventory are more important than others. management system. Non Compliance and Regulatory Reporting Systems: Systems for monitoring GDPR compliance. Software: CRM software, accounting software, custom Business Processes: Product development processes, customer support workflows, financial reporting procedures. Technology: Network infrastructure, office hardware (e.g., computers, printers), communication systems. Servers: 10 physical servers and 50 virtual servers. data centres, hosting, servers, databases, data, Assets Databases: Customer and product databases hosted on MySQL. software, models, and services. It is important to Intellectual Property (IP): Proprietary software code, business methodologies. People: Key personnel including the CEO, CTO, lead developers, and customer support staff. Models: Sales forecasting models, inventory optimization models. to people, processes, and technology. For Services: Managed IT services, cloud services, technical support services. example, it is crucial to identify critical business Data: Customer data, product data, sales data, and analytics data. include 'service' as a whole because some services Development Tools: IDEs (e.g., Visual Studio Code), version control disaster, cyber incident, or attack, and identify any systems (e.g., GitHub), CI/CD pipelines. safeguards and potential weaknesses in those Business Continuity and Disaster Recovery Systems: Data backup solutions, disaster recovery plans. 2. List of Non Hosting Services: Cloud hosting services provided by AWS and and Non Data Centres: Local data centre at headquarters. Technical technical and non Networking and Infrastructure: Office network infrastructure, Wi Fi processes, such as the Intellectual Property (IP) of routers, VPN services. the company, understand how it is safeguarded, Communication Systems: Email servers, collaboration tools (e.g., Slack), safeguards (see also RC.CC 1). VoIP phone systems. Security Assets: Firewalls, antivirus software, encryption tools. how it can be reproduced in the event of a",excellent
Models (Basic Pollution Prediction non Communication Systems (Client Communication Systems) Databases needs to find (Environmental Impact Data) Processes (Sustainability Practices) technica Models) Networking (Environmental Sensors) Security Assets (Basic Environmental Protection) Services (Environmental l assets. Consultancy) Software (Environmental Management technical and Tools) Disaster Recovery (Environmental Data Backups) 2. Non People (Environmental Experts) Compliance Systems (Environmental Compliance Standards) Development Tools (Sustainability Modeling Tools) Servers (Environmental P Data (Pollution their Data) 1 Assets Solutions Monitoring Servers),bad
"Services: Virtual tutoring, online examination platforms. Software: Learning management al assets. systems (LMS), video conferencing platforms. Security Assets: Data encryption tools, secure LMS protocols. Tech critical management. Assets and Data: Student progress data, interactive content non Technology: Virtual classroom devices, interactive whiteboards. speed classroom networks, secure file sharing. Models: Adaptive learning algorithms, student performance predictors. Servers: Secure and identify their servers for student data and course Non focused IDEs, CI/CD platforms. Communication Systems: Collaborative learning tools, secure email platforms. Intellectual Property (IP): Proprietary teaching methods, interactive content designs. Business Processes: Curriculum development, student engagement workflows. People: Educators, IT support staff. Databases: Student information nical technical systems, learning records, content libraries. 1 Critical Systems content repositories. Development Tools: Education Data Centres: Learning Hosting Services: Cloud Technical should hosting for virtual classrooms. Disaster Recovery Systems: Course data backups, failover systems.Non Networking and Infrastructure: High Compliance Systems: Educational standards monitoring. technic data.",good
"Data Centres: Cloud data centres for hosting and processing. Hosting Services: Cloud hosting services with AWS, Azure. Servers: 100 physical servers and 200 virtual servers. Databases: Customer data, application data, and analytics data stored on SQL Server and PostgreSQL. Software: Cloud management platforms, customer relationship management (CRM) systems, custom-built applications. Models: Predictive models for resource allocation, traffic optimization algorithms. Services: IT support services, cloud infrastructure management services. Networking and Infrastructure: Secure cloud networking solutions, SD-WAN solutions. Security Assets: Data encryption tools, secure cloud access protocols. Development Tools: Cloud APIs, CI/CD pipelines for cloud deployment. Communication Systems: Customer support platforms, collaboration tools (e.g., Microsoft Teams). Compliance Systems: GDPR compliance monitoring tools. Business Processes: Cloud service provisioning processes, customer support workflows, financial reporting procedures. Intellectual Property (IP): Proprietary cloud orchestration algorithms, resource optimization models.",excellent
