input,label
"Technical systems not formally listed. Servers, data tools, and core applications known only through informal communication. Non-technical assets (process notes, staff duties, IP references) poorly documented or missing. No structured review.",bad
"No clear inventory of technical items such as booking tools, storage systems, or customer databases. Non-technical documentation (service steps, role details) absent. Asset identification is ad-hoc.",bad
"No record of technical infrastructure (control systems, ERP elements, production data tools). Non-technical processes and IP details not captured. No mapping or governance exists.",bad
"Technical catalog missing entirely. Tools, systems, user applications, and databases undocumented. Non-technical assets (manual workflows, role ownership) incomplete. Visibility extremely low.",bad
"Technical assets such as CRM systems, marketing tools, analytics platforms not listed. Non-technical workflows and approval paths undocumented. Missing asset governance entirely.",bad
No structured asset list available. Technical components known to only a few staff. Non-technical assets such as sanitation workflows and supplier procedures not recorded. High risk of gaps.,bad
"Outdated spreadsheets hold old system entries. No updated list of servers, processes, or applications. Non-technical items (roles, operational tasks) unmaintained. No formal inventory practice.",bad
"Critical systems (medical tools, imaging platforms, patient data apps) not catalogued. Non-technical work patterns and clinical procedures undocumented. Major asset blindness.",bad
"No inventory for technical components (project systems, supply tools, machinery controllers). Non-technical processes undocumented. Organisation relies on tribal knowledge.",bad
"Technical assets (content tools, digital archives, publishing systems) entirely missing from documentation. Non-technical workflows, roles, and IP unmanaged. No structured asset work exists.",bad
Administrative stakeholders not defined. Only a single IT technician is assumed to handle recovery. No mapping of stakeholders to assets. Senior recovery roles are unclear and no named individuals exist. External support is assumed but not documented. No stakeholder register exists or is maintained.,bad
"Only an informal list of two administrators exists, without defining responsibilities. Senior approval authority is vaguely described as “management”. External vendors are not identified. No clear delegation or escalation path. The register is outdated and rarely reviewed.",bad
Stakeholders are partially known verbally but not written. Administrative staff are not mapped to critical systems. Senior decision-makers are not named. External partners exist but no contacts are stored. No responsibility matrix or documented expectations.,bad
"Recovery responsibility is assigned to ’IT team’, but no individuals are named. Senior stakeholders are not involved in exercises. External providers are assumed to support recovery but no contracts or SLAs exist. No proper stakeholder register.",bad
"Administrative stakeholders include two junior staff without backup support. Senior roles are not defined, and no delegate exists. External suppliers are unknown. The list is outdated and not tied to critical assets.",bad
"Stakeholder information is scattered across emails. Administrative, senior, and external roles are not grouped. No approval authority is documented. No consistent register or review process. Responsibilities are unclear.",bad
Recovery tasks are handled informally. Senior leadership is unaware of their role. Administrative staff have no documented restoration responsibilities. External support is based on ad-hoc phone calls. No register is maintained.,bad
"There is no clear stakeholder identification. Administrative, senior, and external roles are mixed without boundaries. Responsibilities are not assigned. No updates or reviews to stakeholder information occur.",bad
Only administrative staff are listed; senior and external stakeholders are missing. No authority for recovery approval is defined. No delegate structure exists. Stakeholder list not linked to recovery activities.,bad
Stakeholder mapping was attempted once but never updated. Most named individuals have left. External vendors are not recorded. Responsibilities are generic and unclear. No proper stakeholder register.,bad
"The organisation has no prioritised asset list. Recovery order is not defined, and systems are restored randomly. Critical dependencies like authentication services and management consoles are not considered. No awareness of sequence risks such as data corruption or administrator lockout.",bad
"Assets are loosely listed, but no prioritisation exists. Recovery teams guess which service to bring up first. No mapping of services to dependencies. Incorrect restoration order has previously caused delays, but no process was updated.",bad
"There is an outdated spreadsheet of assets with no criticality classification. Restoring services often occurs without a plan. Dependent systems are frequently brought online in the wrong order, causing access issues for administrators.",bad
"Asset prioritisation is verbally discussed but not documented. Recovery teams have no clarity on which services must be restored first. No understanding of the consequences of improper sequencing, such as authentication failures.",bad
"No formal prioritised register exists. A long list of assets is available, but all are treated equally. Recovery planning does not reflect dependency chains or business impact. No link to risk or cost considerations.",bad
"Asset importance is determined on the spot during incidents. There is no predefined restoration order. Critical systems like databases, identity management, and monitoring tools are often restored too late.",bad
The organisation keeps a generic list of IT assets without any order of priority. Restoration attempts during incidents have caused denial of service to admins due to missing access layers not being restored first.,bad
"Prioritisation efforts were started but never completed. The list contains asset names but no sequence. Dependencies, risk, and cost considerations are not included. No version control or reviews.",bad
"Asset priority ranking is inconsistent, with different teams using different versions of the list. No authoritative, centralised prioritised asset register exists.",bad
Recovery teams rely on experience rather than documentation. No prioritisation is defined for mission-critical systems. Restoration sequencing errors are common.,bad
"The organisation has no formal list of recovery controls. Backups exist but are inconsistent and untested. There is no documentation of storage systems, redundancy mechanisms, authentication controls, or recovery processes. Non-technical controls such as procedures, roles, and escalation paths are missing.",bad
"Only basic backups are known, and even those are not verified. No clarity on technical controls like availability zones, redundancy, or authentication dependencies. Non-technical recovery controls are not identified or recorded anywhere.",bad
"The organisation relies on a single backup location with no offsite copies. No recovery processes are documented. Technical controls such as SAN, NAS, or high availability setups are not identified. Non-technical controls are ignored entirely.",bad
"There is a partial list of backup servers, but no understanding of broader recovery controls. No identification of failover paths, authentication services, or redundant systems. Non-technical controls like procedures or governance frameworks are absent.",bad
Recovery controls are assumed rather than documented. Team members do not know where backups are stored or how redundancy works. No tracking of resilience mechanisms or alternate routes. No non-technical controls exist.,bad
"A simple backup script is the only known control. No high availability, no redundancy mapping, no documentation of authentication dependencies. No processes for recovery validation or non-technical control identification.",bad
"Technical controls such as storage, authentication, and network redundancy are not catalogued. Backups may exist, but placement and schedules are unclear. No non-technical controls are listed or reviewed.",bad
"The organisation has never identified its recovery controls. Backup frequency, storage location, authentication systems, and resilience mechanisms are unknown. There is no record of recovery procedures or decision-making processes.",bad
"Only a few controls are mentioned in emails. No structured list of technical controls such as S3 storage, failover zones, or alternate network paths. Non-technical controls like escalation and communication protocols are missing.",bad
"Recovery controls were attempted to be listed once but never completed. Many items are missing, such as redundancy, authentication layers, or recovery processes. No non-technical controls are identified or maintained.",bad
"The organisation has not identified any recovery control stakeholders. No individuals are assigned to conduct recovery exercises or manage recovery tasks. The team relies on whoever is available at the time, resulting in confusion and delays during incidents. No link to stakeholders identified in RC.IP-2.",bad
"Recovery stakeholders are assumed rather than identified. Technical staff believe they 'might' be involved, but roles are unclear. No subset has been defined from the RC.IP-2 stakeholder group. Responsibilities are not documented.",bad
There is no structured list of recovery control stakeholders. The organisation depends on a single administrator to handle recovery tasks. No backups or alternates are assigned. Stakeholder mapping is incomplete or missing.,bad
"Only one stakeholder is loosely associated with recovery activities, and their responsibilities are not documented. No coordination with the broader stakeholder list identified in RC.IP-2. No clarity on who conducts recovery exercises.",bad
Recovery control roles are blended with general IT tasks. No dedicated or trained individuals are identified. Stakeholders are not tied to specific controls or recovery steps. No alignment with RC.IP-2.,bad
"A few names are mentioned informally, but no formal list exists. Recovery stakeholders do not understand their responsibilities. There is no link between recovery controls and the people who manage them.",bad
"The organisation has no updated list of recovery control stakeholders. Individuals responsible for backups, failovers, and recovery processes are not known. No documentation connects these roles to RC.IP-2 stakeholders.",bad
"There is a partial list of potential recovery stakeholders, but it is outdated and lacks detail. Several individuals have left the organisation, and no replacements were assigned.",bad
"Stakeholders for recovery controls are vaguely referenced in emails, but no formal identification or documentation exists. Their responsibilities remain undefined.",bad
The organisation has not established clear ownership for recovery controls. No named individuals or teams exist to run recovery exercises or manage tasks during cyber incidents.,bad
Business continuity and cyber recovery are handled by different teams with no interaction. No mapping of controls exists. Backup sites are mentioned but never linked to recovery tasks.,bad
"We have a DR plan somewhere but it is not connected to cyber recovery activities. No alignment, no shared controls, no documentation tying the two together.",bad
Continuity team assumes recovery team will take care of everything. Recovery team assumes continuity team will manage facilities. No cross-reference of controls.,bad
"BCP documents list backup generators and alternate sites, but cyber recovery controls reference none of these. No coordination.",bad
"We do not know which business continuity controls support cyber recovery. No lists, no processes, no collaboration.",bad
